,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
21,Airedale Terrier,,,,"The Airedale may just be one of the most versatile dogs in the world. The Airedale was originally bred to catch vermin, but it became an all-around sporting dog with a mix of abilities as a pointer, spaniel, retriever, guide dog and police/military dog.",,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,,,Terrier,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,,,,,,,,,,,,,,,
22,Airedoodle,,,,This is a great pooch for rough-housing and one-to-one.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Akbash,,,,It has loose neck skin for lessening bites and allowing mobility from predators.,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,,,Guard,Big head and powerful jaws,"Calm, independent, brave and protective",Hard,,,,,,,,,,,,,,,
24,Akita,,,,"Although originating from Japan, the Akita has an American equivalent mix",,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,,,Working,Pointed ears and upward curving tail,"Intelligent, courageous and fearless",Medium - Hard,,,,,,,,,,,,,,,
25,Akita Shepherd,,,,The Akita Shepherd descends from a lineage of working dogs.,,,,,,,Omnivore,,,,,,,,,,,,"Loyal, hard-working, and courageous",,,,,,,,,,,,,,,,
26,Alabai,,,,"The Alabai’s genes indicate that this breed has been around for more than 5,000 years.",,,,,,,Omnivore,,,,,,,,,,,,"Independent, proud, and affectionate",,,,,,,,,,,,,,,,
27,Alaskan Husky,,,,The Alaskan Husky is one of the most common sled dogs in the world,,,,,,,Omnivore,,,,,,,,,,,,"Energetic, hard-working, and affectionate",,,,,,,,,,,,,,,,
28,Alaskan Klee Kai,,Puppy,,The Alaskan Klee Kai is very vocal and isn't shy when communicating with his family.,,,"the contrasting colored facial mask with the well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,,,,,,,,1-5 puppies,,,,,,,,,,,,,,,,Alaska,,,,
29,Alaskan Malamute,,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,,,Working,Pointed face and upturned tail,"Affectionate, friendly and loyal",Medium,,,,,,,,,,,,,,,
30,Alaskan Pollock,"Crustaceans, other fish",,School,It's one of the most commonly eaten fish in the world,Unknown,None,Speckling,"Snow cod, bigeye cod, copperline cod, lesser cod",,,Carnivore,,,"Walleye, walleye pollock, Alaska pollock, pollock",1,,,,,"Aquatic mammals, other fish, birds of prey, humans",Fish,,,,,,,,,,,,,,,Unknown,,,
31,Alaskan Shepherd,,,,This dog’s Malamute ancestors once came to America across the Bering Strait.,,,,,,,Omnivore,,,,,,,,,,,,"Loyal, attentive, and hard-working",,,,,,,,,,,,,,,,
32,Albacore Tuna,,,School,The albacore is a very fast swimmer,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1,,,,,"Sharks, billfish, rays, humans, and other tunas",Ray-finned fish,,,,,,,,"Fish, crustaceans, cephalopods, and mollusks",,,,,,,,,,
33,Albatross,"Squid, krill, and fish",Chicks,Colonial Nesting,The largest wingspan of any bird in the world!,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,1,"Humans, sharks, cats, and rats",Bird,,,,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,,,
34,Aldabra Giant Tortoise,"Grasses, Leaves, Flowers",Hatchling,Herd,One got to be 255 years old!,"200,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,,Grasslands and swamps,Herbivore,,Diurnal,Aldabra Giant Tortoise,1,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,,"Giant Crab, Humans, Cats",,,,,,8 months,,15,,3 - 6 months,,,,,,,,,
35,Alligator,"Fish, Snakes, Turtles",Hatchling,Solitary,They have two sets of eyelids!,1 million/less than 100,Water pollution,Muscular tail half the total body length,Gator,,Marsh and swampland,Carnivore,,Diurnal/Nocturnal,Alligator,2,southern USA and China,They have two sets of eyelids!,Reptile,,"Human, Birds, Raccoon",,,,,,2 months,,35,,1- 2 years,,,,,,,,,
36,Alligator Gar,,,Solitary,The alligator gar has toxic eggs to protect against predators,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1,,,,,Humans and alligators,Ray-finned fish,,,,,,,,"Fish, turtles, birds, and mammals",,,,,,,,,,
37,Alpaca,,Cria,Herd,They can spit up to 10 feet.,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,,,Alpaca,1,"Andes Mountains of Peru, Bolivia, Ecuador and Chile",,,One,,,,,,,,,,,,,,,"Hay, pasture grass and/or silage",,,,,
38,Alpine Dachsbracke,,,,It’s known as a cold-nose hound because it can pick up a scent on a trail that’s gone cold.,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,,,Scent Hound,"Elongated body and short, stocky legs","Fearless, friendly and intelligent",Easy,,,,,,,,,,,,,,,
39,Alpine Goat,,Kids,Herd,"Alpine goats are the most common type of goat used for milk, cheese, and other dairy products",,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,,,Alpine goat,,,,,1.75,"Wolves, mountain lions, bobcats, and other carnivores",Mammal,,,,,,,,,,,,,"Grass, vegetation",,,,,
40,Alusky,,,,Alusky dogs are known for their sledding pulling skills.,,,,,,,Omnivore,,,,,,,,,,,,Energetic and friendly,,,,,,,,,,,,,,,,
41,Amazon Parrot,,,,"These parrots can be trained to be ""talking birds"" that mimic human speech","The populations of many wild Amazon parrots haven’t been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35,"South America, the Caribbean, Mexico, South Africa, Europe",,,Two to five,"Monkeys, birds of prey, snakes",Bird,,,,8 inches to 11.26 inches,About a month,,,,,,Tree cavity,Two months,,,,,,
42,Amazon River Dolphin (Pink Dolphin),,,,,,,,,,Large tropical rivers and estuaries,Carnivore,1,School,,,,Also known as the 'Pink Dolphin',,,Human,Mammal,,,,,,,,"Fish, Prawns, Frogs",,,,,Fish,,,,,
43,Ambrosia Beetle,Fungi,Larvae,Solitary,The ambrosia beetle forms a symbiotic relationship with the ambrosia fungi,,,The long oddly shaped shell,,one month,"Anywhere with hardwood trees, conifers, and woody shrubs",Omnivore,,,Ambrosia Beetle,,,,,up to 60 eggs,"Insects, spiders, reptiles, frogs, mammals, and birds",inesct,,,,,,,,,,,,,,,,,,
44,American Alsatian,,,,,,,,,,,Carnivore,,,American Alsatian,,,,,,,,,"Calm, friendly, and loyal",,,,,,,,,,,,,,,,
45,American Bulldog,,,,American bulldogs are working dogs that have been used on farms and ranches across the country.,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,,,Mastiff,Small pendant shaped ears and strong body,Assertive but loyal and friendly,Hard,,,,,,,,,,,,,,,
46,American Cocker Spaniel,,,,"Merry, outgoing, and eager to please!",,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,,,Gun Dog,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,,,,,,,,,,,,,,,
47,American Cockroach,organic and decaying matter,Nymph,Colony,"Despite its name, actually originated from Africa and the Middle East",,extermination by humans,two sets of wings,"ship cockroach, kakerlac, waterbug and Bombay canary",6-8 weeks,"Moist regions, within manmade structures",Omnivore,,,"Roach, waterbug",1,"North America, Spain, Portugal, Africa, Middle East",,intrusion (then infestation), 9–10 egg cases on average (up to 90 cases),,insect,,,,,,,,,,,,,,,,,,
48,American Coonhound,,,,American coonhounds have the skills to climb trees while pursuing a raccoon or other animal.,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,,,Working,"Long ears and strong, muscular legs",Sweet and even-tempered,Medium,,,,,,,,,,,,,,,
49,American Dog Tick,Blood,Larvae,Solitary,Main vector of Rocky Mountain spotted fever,,Ingestion by mites or nematodes,Brown bodies with variable tan markings,"Wood tick, dog tick",1-30 days,,Omnivore,,,Dog tick,1,North America,,Ticks,"3,000-5,000 eggs",,Arachnid,,,,,,,,,,,,,,,,,,
50,American Eskimo Dog,,,,The American Eskimo was once a part of the Barnum and Bailey Circus with which it would tour the country and perform for astounded audiences.,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,,,,"Bright, white coat and pointed ears",Playful and smart,Fairly easy,,,,,,,,,,,,,,,
51,American Foxhound,,,,The American Foxhound is the state dog of Virginia.,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,,,Hound,"Long legs and wide, flat ears","Mix of affectionate, loving, and stubborn",Medium,,,,,,,,,,,,,,,
52,American Hairless Terrier,,,,The American hairless terrier comes in two varieties with one having a very short coat.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,American Leopard Hound,,puppy,,This breed is also known as the American Leopard Cur. The name was formally changed to American Leopard Hound in 2008.,,,,American Leopard Cur,,,Omnivore,,,,,,,,5-8 puppies,,mammal,,"Intelligent, athletic, and friendly",,,,,,,,,,,,United States,,,,
54,American Pit Bull Terrier,,,,These dogs are very energetic and would be up for a game at any given point of time,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,,,Mastiff,Small and sharply pointed ears,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,,,,,,,,,,,,,,,
55,American Pygmy Goat,,Kid,Herd,Can jump up to 5 feet,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,,,Pygmy goat,,United States,,,1-4,"dogs, coyotes, bobcats",Mammal,,,,,,,,,,,,,Greens and grains,,,,,
56,American Robin,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,The color “Robin egg blue” is named after the hue of their eggs.,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7,North America,,,3-5,"birds of prey, snakes, and cats",bird,,,,12-16in,12-14 days,,,,,,tree forks and dense shrubs,,,,,1,,
57,American Staffordshire Terrier,,,,The American Staffordshire Terrier got its name to distinguish it from the English Staffordshire Terriers that these dogs are originally descended from.,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,,,,,
58,American Toad,"Aquatic vegetation and algae, a wide variety of insects and other invertebrates, slugs, beetles, snails, and earthworms.",Tadpoles,Solitary/Group,They secrete a milky poisonous liquid that can make many animals sick.,"Unknown, due to constant fluctuations in different regions.",Snakes (Eastern hognose snakes),Warts on skin,,2-14 days,"Semi-permanent pool or pond, dense vegetation patches",Omnivore,,,American Toad,3,"Semi-permanent pool or pond, dense vegetation patches",,,"4,000-8,000 eggs",Snakes (Eastern hognose snakes),Frog (Amphibian),,,,,,,,,,,,,,,,,,
59,American Water Spaniel,,,,,,,,,,,Omnivore,5,,American Water Spaniel,,,Friendly and intelligent!,Gun Dog,,,,,"Intelligent, quiet and calm","Should be trained from an early age using short, ongoing sessions as assertive training methods tend to be ineffective",,,,,,,,,,,,,,,
60,Amur Leopard,"Deer, Cattle, hares, small mammals",,,,103 as of 2018,Poaching and habitat loss,,,90-105 days,Forests,Carnivore,2-3 cubs,Solitary,Amur leopard,,Russia's Far East,The Amur leopard may be the rarest big cat on Earth!,Mammal,,Human poaching and competition with Siberian tigers,,,,,,,,,,,,,,,,,,,
61,Anaconda,"Rodents, medium sized mammals, fish, amphibians, reptiles",Hatchlings,,They are the heaviest snake in the world,Unknown,"Poaching, habitat loss",Their tremendous weight and length,"Giant anaconda, common anaconda, common water boa, sucuri",6 months,"Swamps, river, heavy forest",Carnivore,,Nocturnal,Anaconda,4,South America,,,20-40,,Reptile,,,,,,,,,,,,,,,,,,
62,Anatolian Shepherd Dog,,,,Big livestock dogs possibly resembling the Anatolian Shepherd were mentioned in the Book of Job,,,,,,,Omnivore,9,,Anatolian Shepherd Dog,,,Guards it's master's flocks!,Guard,5-10 pups,,,,"Courageous, powerful, protective, calm and devoted.",Should be trained from an early age and respond best to motivational training as they can be dominant and stubborn,,,,,,,,,,,,,,,
63,Anchovies,Recently hatched fish and planktons,,School,November 12th is celebrated as National Pizza with the Works Except Anchovies Day,"20,700 metric tons","Halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Protruding upper jaw that extends to behind their eyes,,,"Salt waters and brackish waters, as well as in temperate waters",Omnivore,,,,144,,,,,"Humans, halibut, salmon, sharks, bluefish, striped bass, weakfish, and other fishes",Fish,,,,,,,,,,,,,Recently hatched fish and planktons,,,,,
64,Angelfish,,,Social,95% of angelfish eat sponges,Unknown,Water pollution,Brightly colored scales,,1-3 days,Coral reefs,Omnivore,,,Angelfish,90,,There are 70 different species!,,,"Larger fish, barracudas, sharks",Perciformes,,,,,,,,"Sponges, algae",,,,,Fish,,6.5 - 7.2,,,
65,Anglerfish,Crustaceans and fish,,Solitary,The anglerfish has a glowing lure on its head to attract unsuspecting prey,Unknown,,The lure,Seadevils,Up to a few weeks,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Angora Ferret,"Mice, rats, gophers, birds, small mammals, small birds, small reptiles, small amphibians.",Pups,Solitary,Was created as an accident.,Unknown,Other household pets,"Long thin body, small nose, long and shiny fur.",Ferret,42 days,"Forests, grasslands.",Carnivore,,,Angora ferret,1,,,,8,"Wolves, dogs.",Mammal,,,,,,,,,,,,,,,,,,
67,Angora Goat,,Kid,Herd,Each adult Angora goat produces about 12 inches of mohair annually while kids have about 8 inches.,,Coyotes,Angora goats produce mohair fiber.,Angoras,150 days,Farms,Herbivore,,,Angora goats,1,Worldwide,,Flock,1,Coyotes,Mammals,,,,,,,,,,,,,,,,,,
68,Anole Lizard,Insects,hatchlings,,"There are just under 400 species, several of which change color.",,Other reptiles,"On most species, the brightly colored dewlap on the neck of the males","American green anole, Carolina green anole, American anole, Carolina anole, North American green anole, red-throated anole, American Chameleon",,,Omnivore,,,Anole Lizard,,The Americas,,Territorial,1 - 2 eggs,"Snakes , other Reptiles , Birds",Reptile,,,,,,,,,,,,,,,,,,
69,Ant,,,,,,,,,,Soil and cavities in wood and plants,Omnivore,"1,000",,Ant,12000,Worldwide,First evolved 100 million years ago!,,,"Insects, Echidna, Anteater",,,,,,,,,"Leaves, Fungi, Insects",,,,,Leaves,,,,,
70,Antarctic scale worm,"pantopoda sea spiders, fish and other marine life",,Solitary,Similar in length to a rat or squirrel,,predators,overlapping scales and golden bristles,"bristle worms, gold scale worms or polychaetes",,"Antarctica and the Southern Ocean at a depth of 1,706 to 2,198 feet (520 to 670 meters)",Carnivore,,,Antarctic scale worm,1,"Antarctica, the Southern Ocean",,,,Cock shrimp,Annelid,,,,,,,,,,,,,,,,,,
71,Anteater,,,,,,,,,,Forest and grasslands,Omnivore,1,Solitary,,,,Found throughout the Southern Hemisphere!,,,"Puma, Snakes, Jaguar",Mammal,Elongated snout and long sticky tongue,,,,,,,"Ants, Termites, Insects",,,,,Ants,,,,,
72,Antelope,,,,,,,,,,Forest and grasslands,Herbivore,1,Herd,,,,Renew their horns every year!,,,,Mammal,Long legs and curved antlers,,,,,,,"Grass, Shoots, Seeds",,,,,Grass,,,,,
73,Ape,Varies,"Infant, baby",Community-minded,"Love to learn, especially through observation",Various,Humans,Varies,Varies,Eight months,"Mountains, rainforests, forests",Herbivore,,,,26,Africa and Asia,,Tribe,One,"Crocodiles, Eagles, big cats",,,,,,,,,,,,,,,,,,,
74,Appenzeller Dog,,,,Appenzeller Sennenhund dogs serve as rescue animals in the Swiss Alps,,,,,,,Omnivore,6,,Appenzeller Dog,,,Herding dog by nature!,Sennenhund,,,,,Energetic and alert,Should be trained from an early age and respond best to firm and consistent training,,,,,,,,,,,Switzerland,,,,
75,Apple Head Chihuahua,,,,"Apple Head Chihuahuas are toy breed dogs with a history dating back to ancient Mexico. They are lovable, loyal, smart and courageous with a lengthy lifespan despite being the world's smallest canines.",,,,,,,Omnivore,,,,,,,,,,,,"Sassy, courageous and loyal",,,,,,,,,,,,,,,,
76,Arabian Cobra,Rodents and birds,,,The Arabian cobra is the only true cobra species that can be found in the Arabian Peninsula.,,,,,,,Carnivore,,,Arabian cobra,,,,,Around 40 eggs,,,,,,,,,,,,,,,,,,,,
77,Arafura File Snake,Fish,,,,,,,,,,Omnivore,10 to 27,,Elephant trunk snake,,,,,,,,Gray with black splotches,,,,,,,,,,,,,,,,,
78,Arapaima,"fish, insects, seeds",,Solitary,One of the largest freshwater fish,,"Overfishing, habitat destruction",,Pirarucu,,,Omnivore,,,Arapaima,4,,,,,"humans, caimans",Bonytongue,Red tail,,,,,,,,,,,,,,6.0 - 6.5,,,
79,Archaeotherium,,,,"The family Entelodontidae is commonly referred to as ""hell pigs.""",,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Archelon Turtle,"Mollusks, jellyfish, and crustaceans",,,Archelons are the largest turtles to have ever lived in the world,,Climate change,A hooked beak like a parrot with crushing jaws,,,,,,,,,,,,,,,Incredibly strong front feet that were able to pull its mass through the water like paddles,,,,,,,,,,On the beach,,,,,,,
81,Arctic Fox,,kit,,,,,,,,Polar forest regions,Carnivore,5,Solitary,,,,Extremely thick winter fur!,,,"Snowy Owl, Wolf, Polar Bear",Mammal,Thick fur that changes colour with season,,,,,,,"Lemmings, voles, hares, other small rodents, berries, insects",,,,,Lemmings,,,,,
82,Arctic Hare,,,,,,,,,,Tundra and rocky areas,Herbivore,6,Herd,,,,Eats berries found in the snow!,,,,Mammal,Thick fur that changes colour with seasons,,,,,,,"Grass, Willow, Flowers",,,,,Grass,,,,,
83,Arctic Wolf,,,,,,,,,,Grass plains and tundra forests,Carnivore,4,Pack,,,,Incredibly versatile and adaptive!,,,Human,Mammal,,,,,,,,"Deer, Elk, Moose",,,,,Deer,,,,,
84,Arctodus,"Dire wolves, bison, horses, and American cave lions",,,The South American spectacled bear is its closest relative living today.,,Decreasing food supply,Its canine teeth were likely at least two inches long.,Bulldog bear,,,,,,Arctodus,2,,,,,,,The toes of this extinct bear face forward while the toes of bears living today are directed inward.,,,,,,,,,,,,,,,,,
